date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:49	118/118	---M-Z	200	added ('OK')	text/plain	date:Mon,%2026%20Nov%202012%2020:50:55%20GMT	https://quanticalabs.com/robots.txt		(from )
18:01:50	94247/94247	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20May%202024%2011:01:40%20GMT	https://quanticalabs.com/Pressroom/Template/	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/index.html	(from )
18:01:50	894/894	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:27%20GMT	https://quanticalabs.com/Pressroom/Template/style/reset.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/reset.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:50	3096/3096	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Jun%202021%2014:30:06%20GMT	https://quanticalabs.com/Pressroom/Template/style/superfish.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/superfish.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:50	19888/19888	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:26%20GMT	https://quanticalabs.com/Pressroom/Template/style/prettyPhoto.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/prettyPhoto.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:51	13298/13298	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Jun%202021%2014:29:41%20GMT	https://quanticalabs.com/Pressroom/Template/style/jquery.qtip.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/jquery.qtip.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:51	72283/72283	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Jun%202021%2014:29:54%20GMT	https://quanticalabs.com/Pressroom/Template/style/style.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/style.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:51	4914/4914	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:20%20GMT	https://quanticalabs.com/Pressroom/Template/style/menu_styles.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/menu_styles.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:52	6161/6161	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:16%20GMT	https://quanticalabs.com/Pressroom/Template/style/animations.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/animations.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:52	26921/26921	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:28%20GMT	https://quanticalabs.com/Pressroom/Template/style/responsive.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/responsive.css	(from https://quanticalabs.com/Pressroom/Template/)
18:01:52	4012/4012	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Sep%202014%2011:36:23%20GMT	https://quanticalabs.com/Pressroom/Template/style/odometer-theme-default.css	C:/laragon/www/wd18407/Client/quanticalabs.com/Pressroom/Template/style/odometer-theme-default.html	(from https://quanticalabs.com/Pressroom/Template/)
